User_ID,Timestamp,Location_ID
U0863,2026-01-01 08:00:09,Dorms
U0747,2026-01-01 08:00:33,Dorms
U0681,2026-01-01 08:00:42,Cafeteria
U0846,2026-01-01 08:00:54,Dorms
U0166,2026-01-01 08:01:03,Dorms
U0717,2026-01-01 08:01:35,Dorms
U0918,2026-01-01 08:02:04,Dorms
U0483,2026-01-01 08:02:05,Math_Building
U0678,2026-01-01 08:02:32,CS_Building
U0704,2026-01-01 08:02:53,Library
U0679,2026-01-01 08:03:27,Dorms
U0389,2026-01-01 08:03:31,Student_Center
U0010,2026-01-01 08:03:54,Dorms
U0888,2026-01-01 08:03:57,Gym
U0011,2026-01-01 08:04:00,Gym
U0689,2026-01-01 08:04:03,Dorms
U0638,2026-01-01 08:04:17,Dorms
U0983,2026-01-01 08:04:37,Dorms
U0035,2026-01-01 08:04:44,Dorms
U0069,2026-01-01 08:05:09,Dorms
U0018,2026-01-01 08:05:09,Dorms
U0250,2026-01-01 08:05:35,CS_Building
U0929,2026-01-01 08:05:49,Cafeteria
U0594,2026-01-01 08:06:04,Dorms
U0859,2026-01-01 08:06:08,Dorms
U0875,2026-01-01 08:06:58,Dorms
U0165,2026-01-01 08:07:01,CS_Building
U0653,2026-01-01 08:07:32,Math_Building
U0491,2026-01-01 08:07:45,Dorms
U0227,2026-01-01 08:07:48,Student_Center
U0744,2026-01-01 08:08:22,Dorms
U0611,2026-01-01 08:08:26,Math_Building
U0054,2026-01-01 08:08:47,Dorms
U0159,2026-01-01 08:08:55,Library
U0598,2026-01-01 08:09:14,Dorms
U0396,2026-01-01 08:09:31,Dorms
U0529,2026-01-01 08:09:34,Dorms
U0961,2026-01-01 08:09:50,Dorms
U0180,2026-01-01 08:10:15,Gym
U0283,2026-01-01 08:10:35,Dorms
U0315,2026-01-01 08:10:36,Dorms
U0604,2026-01-01 08:10:42,Dorms
U0531,2026-01-01 08:11:03,Dorms
U0272,2026-01-01 08:11:09,Library
U0430,2026-01-01 08:11:16,Dorms
U0096,2026-01-01 08:11:20,Dorms
U0480,2026-01-01 08:11:25,Gym
U0454,2026-01-01 08:11:29,Dorms
U0607,2026-01-01 08:11:41,Dorms
U0722,2026-01-01 08:11:47,Dorms
U0239,2026-01-01 08:11:54,Dorms
U0777,2026-01-01 08:12:05,Dorms
U0873,2026-01-01 08:12:09,Dorms
U0922,2026-01-01 08:12:17,Dorms
U0008,2026-01-01 08:12:22,Dorms
U0371,2026-01-01 08:12:26,Dorms
U0894,2026-01-01 08:12:30,Dorms
U0813,2026-01-01 08:12:33,CS_Building
U0164,2026-01-01 08:12:43,Dorms
U0308,2026-01-01 08:13:04,Dorms
U0014,2026-01-01 08:13:05,Library
U0704,2026-01-01 08:13:07,Gym
U0309,2026-01-01 08:13:11,Library
U0132,2026-01-01 08:14:06,Dorms
U0988,2026-01-01 08:14:44,Dorms
U0004,2026-01-01 08:15:10,Cafeteria
U0535,2026-01-01 08:15:11,Dorms
